host_total_listings_count;neighbourhood;neighbourhood_cleansed;neighbourhood_group_cleansed;city;state;zipcode;market;smart_location;country_code;country;latitude;longitude;property_type;accommodates;bathrooms;bedrooms;beds;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;availability_30;availability_60;availability_90;availability_365;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;cancellation_policy;reviews_per_month;high_value_amenities;standard_value_amenities;basic_amenities;summary_length;description_length;days_since_first_review;days_since_last_review;room_type_private_room;room_type_shared_room;bed_type_couch;bed_type_futon;bed_type_pullout_sofa;bed_type_real_bed;square_meters
1.0;ciudad lineal;concepcin;ciudad lineal;madrid;comunidad de madrid;28027;madrid;madrid spain;es;spain;40.43619693751233;-3.658018427237733;apartment;4;1.0;0.0;1.0;3.871201010907891;300.0;;100.0;25.0;1;5;3;1125;11;12;12;12;14;96.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;0.91;2;2;3;38;134;3211.0;2827.0;False;False;False;False;False;True;40.041193
1.0;;pollena;;pollensa;islas baleares;07460;mallorca island;pollensa spain;es;spain;39.89458908331715;3.073362573066505;apartment;4;2.0;2.0;3.0;4.330733340286331;;;;86.0;1;0;2;1125;29;59;89;364;1;;;;;;;;moderate;0.12;3;0;0;47;47;3016.0;3016.0;False;False;False;False;False;True;65.0321
1.0;palacio;palacio;centro;madrid;comunidad de madrid;28013;madrid;madrid spain;es;spain;40.42025688644759;-3.708349109430616;apartment;4;1.0;1.0;2.0;3.9318256327243257;;;;25.0;2;25;2;1125;13;31;54;329;12;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.08;1;4;3;43;191;3085.0;2764.0;True;False;False;False;False;True;49.981814
1.0;;delicias;arganzuela;madrid;comunidad de madrid;28045;madrid;madrid spain;es;spain;40.397626631085295;-3.69571330174212;apartment;6;2.0;3.0;4.0;4.605170185988092;;;;;4;0;3;1125;13;22;44;132;1;100.0;10.0;10.0;10.0;10.0;8.0;10.0;moderate;1.0;1;3;3;21;161;2770.0;2770.0;False;False;False;False;False;True;99.963628
1.0;acacias;acacias;arganzuela;madrid;comunidad de madrid;28005;madrid;madrid spain;es;spain;40.40092781729024;-3.703780898704873;apartment;3;1.0;1.0;2.0;3.828641396489095;;;100.0;15.0;1;0;1;1125;0;0;0;43;0;;;;;;;;strict;;0;3;2;16;146;;;False;False;False;False;False;True;44.965052
2.0;;palacio;centro;madrid;comunidad de madrid;28005;madrid;madrid spain;es;spain;40.41123614257744;-3.710499192725592;apartment;6;1.5;2.0;4.0;4.51085950651685;700.0;2700.0;200.0;50.0;4;10;2;3;11;22;50;50;36;94.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;2.32;1;6;3;37;171;3217.0;2758.0;False;False;False;False;False;True;69.955959
1.0;;universidad;centro;madrid;community of madrid;28015;madrid;madrid spain;es;spain;40.429015266028;-3.7078756762610414;apartment;2;1.0;0.0;2.0;4.330733340286331;250.0;800.0;;40.0;1;0;3;1125;0;0;0;234;10;93.0;9.0;10.0;9.0;10.0;10.0;9.0;strict;0.26;0;1;3;27;27;3898.0;3275.0;False;False;False;False;False;True;30.007669
8.0;recoletos;recoletos;salamanca;madrid;comunidad de madrid;28001;madrid;madrid spain;es;spain;40.42576102077703;-3.6843043243534015;apartment;1;1.0;1.0;1.0;3.332204510175204;;;;;1;0;7;1125;14;43;73;348;4;75.0;9.0;7.0;9.0;9.0;10.0;7.0;strict;0.56;1;2;0;39;82;2966.0;2824.0;True;False;False;False;False;True;15.79351
4.0;pacifico;pacfico;retiro;madrid;comunidad de madrid;28007;madrid;madrid spain;es;spain;40.40398461954629;-3.681529442888404;apartment;1;3.0;1.0;1.0;3.367295829986474;;;100.0;5.0;1;0;3;40;0;6;36;126;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.16;1;3;2;81;187;2936.0;2936.0;True;False;False;False;False;True;15.79351
164.0;embajadores;embajadores;centro;madrid;comunidad de madrid;28012;madrid;madrid spain;es;spain;40.41295485473455;-3.7039855470266376;apartment;6;2.0;2.0;4.0;4.836281906951478;;;200.0;70.0;3;10;2;1125;12;26;53;314;2;100.0;10.0;9.0;10.0;10.0;10.0;8.0;strict;0.12;1;3;3;42;159;3255.0;3100.0;False;False;False;False;False;True;69.955959
