host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,availability_365,square_meters,review_activity_duration,amenity_score,summary_content_score,description_content_score,property_type_weighted,room_type_encoded,bed_type_encoded,cancellation_policy_numeric,neighbourhood_group_cleansed_encoded,neighbourhood_cleansed_encoded,neighbourhood_encoded,city_encoded,state_encoded,zipcode_encoded,market_encoded,country_encoded,price_log,review_overall_score
1.0,40.42145695374864,-3.704386192677408,6,1.0,2,3,100.0,35.0,3,321,69.955959,1091.0,29,6,15,0.3333333333333333,1.0,0.8520040280841519,2,8,67.77452830188679,67.91066282420749,67.8210655120482,66.70741482965931,74.4219734079776,67.7640712945591,71.77488172810854,4.499809670330265,22.954444444444444
2.0,40.410927733554594,-3.694764512687713,2,1.0,1,1,150.0,15.0,1,313,24.990907,102.0,30,7,9,0.3333333333333333,1.0,0.8520040280841519,1,8,81.91542288557214,82.59599332220367,67.8210655120482,68.19055374592834,83.67920792079208,67.7640712945591,71.77488172810854,4.23410650459726,19.14777777777778
3.0,40.42082744524122,-3.7092578274268058,4,1.0,1,2,100.0,45.0,2,311,47.7056905,1399.0,39,4,12,0.3333333333333333,1.0,0.8520040280841519,3,8,77.30385487528345,81.32391304347826,67.8210655120482,66.70741482965931,81.97660098522168,67.7640712945591,71.77488172810854,4.276666119016055,21.56
57.0,40.42519771881617,-3.693819695344762,2,1.0,0,1,100.0,30.0,1,162,30.007669,402.0,26,4,10,0.3333333333333333,1.0,0.8520040280841519,2,8,79.4913112164297,78.93302180685359,67.8210655120482,68.19055374592834,74.4219734079776,67.7640712945591,71.77488172810854,3.8918202981106265,20.294444444444444
1.0,40.427704352463486,-3.673472388372002,1,1.0,1,1,150.0,20.0,1,0,19.974145,359.0,20,1,1,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,35,84.07978723404256,82.58510638297872,67.8210655120482,68.19055374592834,84.47826086956522,67.7640712945591,71.77488172810854,3.218875824868201,17.134444444444444
1.0,40.41118576012587,-3.696942164999159,2,1.0,1,1,250.0,10.0,1,327,26.01284,146.0,35,8,13,0.6666666666666667,0.15037580105041076,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,4.007333185232471,18.706666666666667
1.0,40.42653924202765,-3.667912369138866,2,1.0,1,1,100.0,16.0,1,301,24.990907,302.0,27,4,11,0.3333333333333333,1.0,0.8520040280841519,2,35,55.30357142857143,62.67692307692308,67.8210655120482,68.19055374592834,52.051886792452834,67.7640712945591,71.77488172810854,3.6375861597263857,20.933333333333334
10.0,40.416924917769336,-3.7012213134713634,7,2.0,2,5,180.0,25.0,5,305,49.4708475,803.0,19,6,20,0.3333333333333333,1.0,0.8520040280841519,1,8,85.71021992238033,84.62020460358056,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,5.010635294096256,19.60111111111111
6.0,40.45291716263587,-3.702520696955318,3,1.0,1,2,300.0,25.0,2,328,44.965052,37.0,27,8,11,0.3333333333333333,1.0,0.8520040280841519,3,41,71.18691588785046,88.0,67.8210655120482,68.19055374592834,66.9320987654321,67.7640712945591,71.77488172810854,3.80666248977032,17.657777777777778
1.0,40.40784461446077,-3.70286445868477,2,1.0,0,1,150.0,20.0,2,52,30.007669,272.0,25,11,12,0.3333333333333333,1.0,0.8520040280841519,3,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.555348061489413,16.857777777777777
1.0,40.457678749334974,-3.692384535534189,2,1.0,1,2,100.0,9.0,1,215,26.01284,17.0,27,9,9,0.6666666666666667,0.15037580105041076,0.8520040280841519,1,41,67.06153846153846,66.68181818181819,67.8210655120482,68.19055374592834,87.84615384615384,67.7640712945591,71.77488172810854,3.555348061489413,18.25
5.0,40.43605575562019,-3.6842438204335246,4,1.0,1,1,200.0,49.0,2,291,47.7056905,54.0,15,15,15,0.3333333333333333,1.0,0.8520040280841519,3,35,115.76470588235294,113.31764705882352,67.8210655120482,66.70741482965931,73.68885317997294,67.7640712945591,71.77488172810854,4.499809670330265,17.66111111111111
1.0,40.40987785730336,-3.7006031910557287,2,1.0,1,2,150.0,10.0,3,97,24.990907,196.0,23,7,15,0.3333333333333333,1.0,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.737669618283368,18.07333333333333
1.0,40.41408600398531,-3.703343779605439,5,2.0,2,3,180.0,30.0,3,100,74.97272099999999,996.0,25,3,12,0.3333333333333333,1.0,0.8520040280841519,3,8,60.703778677462886,59.554729011689695,67.8210655120482,66.70741482965931,67.57546602525557,67.7640712945591,71.77488172810854,5.010635294096256,20.32444444444444
10.0,40.41839417930371,-3.675512061283086,5,1.0,1,3,200.0,20.0,4,310,49.981814,427.0,23,8,12,0.3333333333333333,1.0,0.8520040280841519,3,34,72.63636363636364,85.60204081632654,67.8210655120482,63.69439421338156,78.44134078212291,67.7640712945591,71.77488172810854,4.499809670330265,16.123333333333335
1.0,48.85725878099219,2.27407278236097,2,1.0,0,1,500.0,25.0,1,66,30.007669,28.0,22,9,11,0.3333333333333333,1.0,0.4090312389650088,1,18,268.25,66.0,105.9080459770115,106.32558139534883,268.25,105.1590909090909,105.9080459770115,4.189654742026425,15.896666666666668
2.0,40.425032345075984,-3.702201374373187,6,2.0,2,3,250.0,40.0,4,307,69.955959,314.0,32,13,19,0.3333333333333333,1.0,0.8520040280841519,1,8,67.77452830188679,67.91066282420749,67.8210655120482,68.19055374592834,74.4219734079776,67.7640712945591,71.77488172810854,4.770684624465665,18.8
